#,Background,Stance,Mango Color,Eyes,Mouth,Costume,Costume Color,Hat,Weapon 1,Weapon 2,Weapon 3,Affinity,Special Edition
mh0,Lime Green,Floating,Orange,Unknown,Unknown,Hockey Mask,White/Blood,None,None,None,None,Hero,Travis D
mh2713,Mango Island,Fun,Pink,Mask,Triumph,Mango Man,Green,None,None,None,None,Hero,None
mh2714,Green Black,Fun,Normal,Piercing,Cupid,Mercenary,Black,None,AM-47,None,None,Hero,None
mh2715,Purple Grey,Fun,Normal,Patch,Wheat,Ghoul,Black,None,Rinkaku Red,None,None,Hero,None
mh2716,Rising Sun,Fun,Green,Ghoulish,Whiskers,Ronin,Pink,None,Katana,None,None,Hero,None
mh2717,Fallen,Fun,Red,Glasses,Jester Purple,Ghoul,White,None,Rinkaku Red,None,None,Hero,None
mh2718,Sky 1,Fun,Blue,Cobra,Twig,Mango Radio,Green,None,None,None,None,Hero,None
mh2719,Ocean 1,Fun,Red,Intense,Plumber,Boxer,Yellow,None,Gloves,None,None,Hero,None
mh2720,Sky 2,Fun,Sunrise,Normal,Buck,Swimmer,Pink,Swimmer,None,None,None,Hero,None
mh2721,Teal Black,Fun,Pink,Piercing,Plumber,Cope,Black,None,None,None,None,Hero,Cope
mh2722,Green Bubble,Fun,Sunrise,Scared,Mask Black,Kaiju Shirt,Red,None,None,None,None,Hero,Kaiju
mh2723,Pink White,Fun,Red,Piercing Worn,Pucker,Trunks,Pink,None,None,None,None,Hero,None
mh2724,Bonsai,Fighting,Sunrise,Intense,Samurai,Samurai,Gold,Samurai,Katana,None,None,Hero,None
mh2725,Cornered Purple,Fun,Purple,Sinister,Sinister,Alchemist,Red,None,Otomeiru,None,None,Hero,None
mh2726,Teal Black,Fun,Red,Happy,Mask Purple,Tiger,Orange,Magician,Wand,None,None,Hero,None
mh2727,Mango Island,Fun,Sunrise,Tired,Jester Purple,Claw,Red,None,Claws,None,None,Hero,None
mh2728,Gold,Fighting,Pink,Concentrate,Cigar,Mango Ranger,Yellow,None,None,None,None,Hero,None
mh2729,Brown Grey,Fun,Blue,Piercing Worn,Plumber,Furutsu,Pink,None,None,None,None,Hero,None
mh2730,Purple Grey,Fun,Purple,Alien White,Triumph,Ghoul,White,None,Rinkaku Red,None,None,Hero,None
mh2731,Pink Black,Fun,Green,Glasses,Respirator 2,Tiger,Orange,None,None,None,None,Hero,None
mh2732,Brown Grey,Fun,Normal,Angry 1,Leaf,Furutsu,Yellow,None,None,None,None,Hero,None
mh2733,Mango Island,Fun,Pink,Mask,Frown,Mango Man,Green,None,None,None,None,Hero,None
mh2734,Teal Black,Fun,Red,Alien White,Whistle,Slime Shirt,Pink,None,None,None,None,Hero,None
mh2735,Sun,Fun,Purple,Eager,Cig,Chad,White,None,Jo,None,None,Hero,None
mh2736,Sakura,Fun,Red,Eager,Clench 1,Damasi,White,None,None,None,None,Hero,None
mh2737,Rising Sun,Fun,Purple,Ghoulish,Fright,Ronin,Tan,None,Katana,None,None,Hero,None
mh2738,Pink Bubble,Fun,Pink,Alien Red,Jester Purple,Diaper,White,Pirate,Hook,None,None,Hero,None
mh2739,Barrel Red,Fun,Blue,Cute,Leaf,Special Agent O,Black,None,Mango MPK,None,None,Hero,None
mh2740,Evening,Fun,Normal,Intense Worn,Sinister,Wasteland,Yellow,None,MPAS-12,None,None,Hero,None
mh2741,Turquoise Center,Fun,Sunrise,Joy,Sinister,Mangonaut,Pink,None,None,None,None,Hero,None
mh2742,Orange Center,Fun,Red,Glasses,Pout,Caliburn Combat,Yellow,None,None,None,None,Hero,None
mh2743,Turquoise Center,Fun,Pink,Goggles,Jester Purple,Mangonaut,White,None,None,None,None,Hero,None
mh2744,Cornered Purple,Fun,Pink,Wink,Lip,Alchemist,Red,None,Otomeiru,None,None,Hero,None
mh2745,Blue Center Dark,Fighting,Green,Normal,Mock,Mango Ranger,Blue,None,None,None,None,Hero,None
mh2746,Ocean 1,Fun,Red,Plead 2,Twig,Boxer,Red,None,Gloves,None,None,Hero,None
mh2747,Blue Yellow,Fun,Sunrise,Surprise,Jester Red,Jester,Purple,None,None,None,None,Hero,None
mh2748,TBT,Fun,Pink,Eager,Smooch,FFF,Purple,None,None,None,None,Hero,FFF
mh2749,Teal Black,Fun,Sunrise,Concentrate,Holler,Kaiju Shirt,Red,None,None,None,None,Hero,Kaiju
mh2750,Cornered Purple,Fun,Purple,Jester,Jester Red,Alchemist,Pink,None,Otomeiru,None,None,Hero,None
mh2751,Ocean 1,Fun,Blue,Angry 1,Happy,Boxer,Purple,None,Gloves,None,None,Hero,None
mh2752,Mushroom,Fun,Normal,Plead 2,Woozy,Plumber,Red,Plumber,None,None,None,Hero,None
mh2753,Sky 2,Fun,Normal,Money,Fright,Swimmer,Pink,Swimmer,None,None,None,Hero,None
mh2754,Brown Grey,Fun,Purple,Cyclops,Triumph,Furutsu,Yellow,None,None,None,None,Hero,None
mh2755,Cornered Purple,Fun,Sunrise,Ghoulish,Buck,Alchemist,Black,None,Otomeiru,None,None,Hero,None
mh2756,Stars,Fun,Pink,Ghoulish,Smooch,Space Suit,Black,None,None,None,None,Hero,None
mh2757,TBT Radial,Fun,Green,Eager,Holler,Kaiju Shirt,Red,None,None,None,None,Hero,Kaiju
mh2758,Teal Black,Fun,Red,Yikes,Fright,Slime Shirt,Pink,None,None,None,None,Hero,None
mh2759,Evening,Fun,Pink,Scar Right,Triumph,Wasteland,Black,None,MPAS-12,None,None,Hero,None
mh2760,Fallen,Fun,Blue,Scared,Mask Yellow,Ghoul,Black,None,Rinkaku Red,None,None,Hero,None
mh2761,Green Black,Fun,Normal,Sinister,Leaf,Guerrilla,Green,None,AM-47,None,None,Hero,None
mh2762,Brown Grey,Fun,Normal,Intense,Cupid,Furutsu,Black,None,None,None,None,Hero,None
mh2763,Fallen,Fun,Pink,Surprise,Whiskers,Ghoul,White,None,Rinkaku Red,None,None,Hero,None
mh2764,Sun,Fun,Pink,Skeptic,Buck,Chad,White,None,Jo,None,None,Hero,None
mh2765,Brown Grey,Fun,Green,Wink 2,Ghoulish,Furutsu,Yellow,None,None,None,None,Hero,None
mh2766,Sky 1,Fun,Normal,Pixelshades,Clench 1,Mango Radio,Pink,None,None,None,None,Hero,None
mh2767,Teal Black,Fun,Pink,Cute,Smirk,Diaper,White,None,None,None,None,Hero,None
mh2768,Sea,Fun,Purple,Sinister,Yell,Rockstar,Black,None,None,None,None,Hero,None
mh2769,Sky 1,Fun,Pink,Patch,Jester Red,Mango Radio,Pink,None,None,None,None,Hero,None
mh2770,Brown Grey,Fun,Sunrise,Intense,Fright,Furutsu,Red,None,None,None,None,Hero,None
mh2771,Tangelo,Fighting,Normal,Normal,Cigar,Viking,Brown,Viking,Shield,None,None,Hero,None
mh2772,Grey White,Fighting,Purple,Worry 2,Frown,Grease,Blue,None,None,None,None,Hero,None
mh2773,Purple Blue,Fun,Purple,Worry,Knife,24,Yellow,None,Mango Mentality,None,Knife,Hero,None
mh2774,Blue Center Dark,Fighting,Red,Skeptic,Lips,Mango Ranger,Blue,None,None,None,None,Hero,None
mh2775,Green Mangos,Fun,Blue,Angry,Pacifier,Diaper,White,None,None,None,None,Hero,None
mh2776,Orange Center,Fun,Pink,Yikes,Clench 1,Caliburn Combat,Yellow,None,None,None,None,Hero,None
mh2777,Rising Sun,Fun,Red,Jester,Ghoulish,Ronin,Tan,None,Katana,None,None,Hero,None
mh2778,Peach Center,Fun,Red,Cute,Smirk,Cape,Blue,None,None,None,None,Hero,None
mh2779,Sky 2,Fun,Normal,Goggles,Clench 1,Swimmer,Blue,Swimmer,None,None,None,Hero,None
mh2780,Barrel Black,Fun,Green,Scar Right,Cheese,Special Agent O,Black,None,Mango MPK,None,None,Hero,None
mh2781,Mushroom,Fun,Purple,Skeptic,Cigar,Plumber,Red,Plumber,None,None,None,Hero,None
mh2782,Sunset,Fun,Normal,Alien White,Sinister,9000,Yellow,None,Mangoball,9000,None,Hero,None
mh2783,Stars,Fun,Red,Eager,Tongue,Space Suit,Red,None,None,None,None,Hero,None
mh2784,Barrel Red,Fun,Pink,Resent,Clench 1,Special Agent G,Purple,None,Mango MPK,None,None,Hero,None
mh2785,Ocean 3,Fighting,Sunrise,Enlightened,Surgical,Straw Hat,Blue,Straw Hat,None,None,None,Hero,None
mh2786,Turquoise Center,Fun,Purple,Envy,Whiskers,Mangonaut,White,None,None,None,None,Hero,None
mh2787,Mushroom,Fun,Purple,Scared,Cupid,Plumber,Pink,Plumber,None,None,None,Hero,None
mh2788,Turquoise Center,Fun,Red,Intense Worn,Jester Purple,Mangonaut,White,None,None,None,None,Hero,None
mh2789,Mango Island,Fun,Blue,Mask,Leaf,Mango Man,Green,None,None,None,None,Hero,None
mh2790,Turquoise Center,Fun,Red,Angry 3,Mask Pink,Mangonaut,White,None,None,None,None,Hero,None
mh2791,Tangelo,Fighting,Sunrise,Heart,Smooch,Viking,Brown,Viking,Shield,None,None,Hero,None
mh2792,Stars,Fun,Sunrise,Cute,Smirk,Space Suit,Pink,None,None,None,None,Hero,None
mh2793,Sky 1,Fun,Normal,Pixelshades,Fright,Mango Radio,Green,None,None,None,None,Hero,None
mh2794,Brown Grey,Fun,Purple,Wink 2,Sinister,Furutsu,White,None,None,None,None,Hero,None
mh2795,Gold,Fighting,Sunrise,Stunned,Yum,Mango Ranger,Yellow,None,None,None,None,Hero,None
mh2796,Ocean 3,Fighting,Green,Normal,Whistle,Straw Hat,Green,Straw Hat,None,None,None,Hero,None
mh2797,Green Bubble,Fun,Purple,Glasses,Leaf,Sweater,Pink,Mariachi,Maraca,None,None,Hero,None
mh2798,Toxic,Fighting,Purple,Plead 1,Happy,Mango Ranger,Green,None,None,None,None,Hero,None
mh2799,TBT Radial,Fun,Red,Plead 1,Pout,Diaper,White,Pirate,Hook,None,None,Hero,None
mh2800,Tangelo,Fighting,Green,Patch,Tasty,Viking,Brown,Viking,Shield,None,None,Hero,None
mh2801,Cornered Purple,Fun,Pink,Cute,Mask Yellow,Alchemist,White,None,Otomeiru,None,None,Hero,None
mh2802,Ocean 1,Fun,Purple,Tired,Pucker,Boxer,Black,None,Gloves,None,None,Hero,None
mh2803,Teal Black,Fun,Purple,Concentrate,Sour,FFF,Purple,None,None,None,None,Hero,FFF
mh2804,Sunset,Fun,Normal,Piercing,Leaf,Mangoball,Purple,None,Mangoball,None,None,Hero,None
mh2805,TBT,Fun,Pink,Ghoulish,Gum,Tiger,Orange,None,None,None,None,Hero,None
mh2806,TBT Radial,Fun,Sunrise,Patch,Full Metal,Diaper,White,Mariachi,Maraca,None,None,Hero,None
mh2807,Planets,Fun,Purple,Angry 3,Jester Red,Space Wrangler,Red,Space Wrangler,Mango-45,Mango Ray,None,Hero,None
mh2808,TBT Radial,Fun,Pink,Sinister,Yum,Cope,Black,None,None,None,None,Hero,Cope
mh2809,Banana,Fun,Sunrise,Calm,Whiskers,24,Yellow,None,Mango Mentality,None,None,Hero,None
mh2810,Cornered Purple,Fun,Sunrise,Sinister,Full Metal,Alchemist,Blue,None,Otomeiru,None,None,Hero,None
mh2811,Red Cornered,Fun,Sunrise,Scar Right,Plumber,Hit Mango,Green,None,Mango MPK,Pencil,None,Hero,None
mh2812,Banana,Fun,Sunrise,Patch,Ghoulish,24,Yellow,None,Mango Mentality,None,None,Hero,None
mh2813,Rising Sun,Fun,Pink,Eager,Eager,Ronin,Tan,None,Katana,None,None,Hero,None
mh2814,Blue,Floating,Orange,Squinted,Suspicious ,Chef,White,Chef,Jerry,None,None,Hero,Kaiju Cards Special
mh2815,Green Mangos,Fun,Red,Yikes,Pacifier,Diaper,White,None,None,None,None,Hero,None
mh2816,Sea,Fun,Sunrise,Intense Worn,Whistle,Rockstar,Black,None,None,None,None,Hero,None
mh2817,Teal Black,Fun,Sunrise,Ghoulish,Sour,Tiger,Orange,None,None,None,None,Hero,None
mh2818,Cornered Purple,Fun,Blue,Eager,Buck,Alchemist,Red,None,Otomeiru,None,None,Hero,None
mh2819,Cornered Purple,Fun,Red,Cyclops,Twig,Alchemist,Purple,None,Otomeiru,None,None,Hero,None
mh2820,Golden Mangos,Power,Gold,Powerful,Triumph ,None,None,None,None,None,None,Hero,The Golden Mango
mh2821,TBT Radial,Fun,Red,Intense,Mask Yellow,Kaiju Shirt,Red,Magician,Wand,None,None,Hero,Kaiju
mh2822,Bonsai,Fighting,Sunrise,Intense,Samurai,Samurai,Silver,Samurai,Katana,None,None,Hero,None
mh2823,Ocean 3,Fighting,Purple,Shock,Woozy,Straw Hat,Yellow,Straw Hat,None,None,None,Hero,None
mh2824,Tangelo,Fighting,Normal,Pixelshades,Zipped,Viking,Brown,Viking,Shield,None,None,Hero,None
mh2825,TBT Radial,Fun,Purple,Calm,Whistle,Shirt,Blue,None,None,None,None,Hero,None
mh2826,Green Black,Fun,Normal,Angry 2,Full Metal,Mercenary,Red,None,AM-47,None,None,Hero,None
mh2827,Blue Yellow,Fun,Red,Piercing,Jester Purple,Jester,Pink,None,None,None,None,Hero,None
mh2828,Bonsai,Fighting,Pink,Intense,Samurai,Samurai,Purple,Samurai,Katana,None,None,Hero,None
mh2829,Stars,Fun,Green,Ded,Happy,Space Suit,Red,None,None,None,None,Hero,None
mh2830,Tangelo,Fighting,Purple,Star,Joint,Viking,Brown,Viking,Shield,None,None,Hero,None
mh2831,Green Mangos,Fun,Green,Spectacles Angry,Pacifier,Diaper,White,None,None,None,None,Hero,None
mh2832,Mushroom,Fun,Normal,Yikes,Whiskers,Plumber,Red,Plumber,None,None,None,Hero,None
mh2833,Teal Black,Fun,Pink,Intense,Happy,Sweater,Pink,None,None,None,None,Hero,None
mh2834,Teal Black,Fun,Sunrise,Sinister,Respirator 2,FFF,Purple,None,None,None,None,Hero,FFF
mh2835,Mango Island,Fun,Sunrise,Mask,Leaf,Mango Man,Green,None,None,None,None,Hero,None
mh2836,TBT,Fun,Pink,Eager,Cheese,Slime Shirt,Pink,None,None,None,None,Hero,None
mh2837,Teal Black,Fun,Purple,Scared,Sinister,Sweater,Pink,Magician,Wand,None,None,Hero,None
mh2838,Sun,Fun,Normal,Concentrate,Ghoulish,Chad,White,None,Jo,None,None,Hero,None
mh2839,Grey White,Fun,Pink,Worry 2,Tasty,Grease,Blue,Cap,None,None,None,Hero,None
mh2840,Mushroom,Fun,Normal,Eager,Jester Red,Plumber,Red,Plumber,None,None,None,Hero,None
mh2841,Pink Black,Fun,Purple,Cobra,Plumber,FFF,Purple,Pirate,Hook,None,None,Hero,FFF
mh2842,Tangelo,Fighting,Red,Concentrate,Happy,Viking,Brown,Viking,Shield,None,None,Hero,None
mh2843,Sea,Fun,Purple,Ghoulish,Holler,Rockstar,Black,None,None,None,None,Hero,None
mh2844,Rising Sun,Fun,Sunrise,Sinister,Twig,Ronin,Tan,None,Katana,None,None,Hero,None
mh2845,Purple Center,Fun,Pink,Intense,Jester Red,Biz,Tan,None,None,None,None,Hero,None
mh2846,Mango Island,Fun,Sunrise,Mask,Sinister,Mango Man,Green,None,None,None,None,Hero,None
mh2847,Pink Orange,Fun,Blue,Glasses,Whiskers,Diaper,White,Mariachi,Maraca,None,None,Hero,None
mh2848,Mango Island,Fun,Green,Mask,Leaf,Mango Man,Green,None,None,None,None,Hero,None
mh2849,Sunset,Fun,Normal,Scar Left,Jester Red,Mangoball,Purple,None,Mangoball,None,None,Hero,None
mh2850,Pink Black,Fun,Blue,Plead 1,Mustache 2,Diaper,White,None,None,None,None,Hero,None
mh2851,Rising Sun,Fun,Sunrise,Intense,Fright,Ronin,Tan,None,Katana,None,None,Hero,None
mh2852,Sakura,Fun,Green,Wink 2,Triumph,Damasi,Red,None,None,None,None,Hero,None
mh2853,Peach Center,Fun,Pink,Resent,Goatee,Cape,Green,None,None,None,None,Hero,None
mh2854,Teal Black,Fun,Red,Plead 1,Twig,Sweater,Pink,Mariachi,Maraca,None,None,Hero,None
mh2855,Ocean 1,Fun,Sunrise,Goggles,Mustache 2,Boxer,Black,None,Gloves,None,None,Hero,None
mh2856,Ocean 1,Fun,Purple,Ghoulish,Triumph,Boxer,Orange,None,Gloves,None,None,Hero,None
mh2857,Pink White,Fun,Purple,Piercing Worn,Mustache 2,Trunks,Purple,None,None,None,None,Hero,None
mh2858,Brown Grey,Fun,Red,Intense Worn,Yell,Furutsu,Black,None,None,None,None,Hero,None
mh2859,Purple Grey,Fun,Red,Angry 3,Jester Red,Ghoul,Black,None,Rinkaku Red,None,None,Hero,None
mh2860,Banana,Fun,Purple,Money,Triumph,24,Yellow,None,Mango Mentality,None,None,Hero,None
mh2861,Pink White,Fun,Blue,Alien White,Respirator 2,Trunks,Light Pink,None,None,None,None,Hero,None
mh2862,Evening,Fun,Normal,Resent,Cupid,Wasteland,Black,None,MPAS-12,None,None,Hero,None
mh2863,Ocean 3,Fighting,Sunrise,Crying,Woozy,Straw Hat,Pink,Straw Hat,None,None,None,Hero,None
mh2864,Sea,Fun,Green,Focused Red,Knife,Rockstar,Black,None,None,None,Knife,Hero,None
mh2865,Ocean 3,Fighting,Green,Heart,Yum,Straw Hat,Green,Straw Hat,None,None,None,Hero,None
mh2866,Peach Center,Fun,Blue,Intense Worn,Cigar 2,Cape,Blue,None,None,None,None,Hero,None
mh2867,Sea,Fun,Red,Focused Red,Surgical,Rockstar,Black,None,None,None,None,Hero,None
mh2868,Mushroom,Fun,Purple,Money,Buck,Plumber,Red,Plumber,None,None,None,Hero,None
mh2869,Purple Grey,Fun,Purple,Cobra,Full Metal,Ghoul,White,None,Rinkaku Red,None,None,Hero,None
mh2870,Red Cornered,Fun,Blue,Resent,Lower,Agent M,White,None,Mango MPK,Pencil,None,Hero,None
mh2871,Mango Island,Fun,Purple,Mask,Joint,Mango Man,Green,None,None,None,None,Hero,None
mh2872,Brown Grey,Fun,Sunrise,Surprise,Mustache 2,Furutsu,Pink,None,None,None,None,Hero,None
mh2873,Barrel Red,Fun,Green,Scar Left,Lip,Special Agent O,Black,None,Mango MPK,None,None,Hero,None
mh2874,Teal Black,Fun,Green,Yikes,Wheat,FFF,Purple,Mariachi,Maraca,None,None,Hero,FFF
mh2875,Purple Center,Fun,Pink,Angry 1,Joint,Biz,Tan,None,None,None,None,Hero,None
mh2876,Sun,Fun,Red,Worry,Whiskers,Chad,White,None,Jo,None,None,Hero,None
mh2877,Sun,Fun,Red,Yikes,Jester Red,Chad,White,None,Jo,None,None,Hero,None
mh2878,Green Mangos,Fun,Pink,Plead 1,Pacifier,Diaper,White,None,None,None,None,Hero,None
mh2879,Sakura,Fun,Normal,Yikes,Cupid,Damasi,White,None,None,None,None,Hero,None
mh2880,Bonsai,Fighting,Sunrise,Intense,Shogun,Shogun,Green,Shogun,Wakizashi & Tanto,Bow,None,Hero,None
mh2881,Mango Island,Fun,Normal,Mask,Mango Woman,Mango Woman,Pink,None,Shield,None,None,Hero,None
mh2882,Evening,Fun,Normal,Alien White,Sinister,Wasteland,Green,None,MPAS-12,None,None,Hero,None
mh2883,Teal Black,Fun,Green,Intense,Gum,Slime Shirt,Pink,None,None,None,None,Hero,None
mh2884,Planets,Fun,Purple,Plead 2,Cupid,Space Wrangler,Tan,Space Wrangler,Mango-45,Mango Ray,None,Hero,None
mh2885,Mango Island,Fun,Green,Alien White,Cig,Arachnoid,Blue,None,Mech Arms,None,None,Hero,None
mh2886,Pink Black,Fun,Red,Patch,Cigar,Striped,White,None,None,None,None,Hero,None
mh2887,Mango Island,Fun,Pink,Focused Black,Buck,Pyro,Purple,None,None,None,None,Hero,None
mh2888,Teal Black,Fun,Purple,Resent,Joint,Diaper,White,None,None,None,None,Hero,None
mh2889,Sky 1,Fun,Normal,Plead 1,Twig,Mango Radio,Pink,None,None,None,None,Hero,None
mh2890,Sakura,Fun,Green,Angry 1,Jester Red,Damasi,Green,None,None,None,None,Hero,None
mh2891,Grey White,Fighting,Sunrise,Bored,Smirk,Grease,Blue,None,None,None,None,Hero,None
mh2892,Barrel White,Fun,Purple,Focused Black,Happy,Special Agent O,Black,None,Mango MPK,None,None,Hero,None
mh2893,Fallen,Fun,Pink,Scar Left,Leaf,Ghoul,White,None,Rinkaku Red,None,None,Hero,None
mh2894,Sunset,Fun,Green,Cyclops,Buck,Mangoball,Orange,None,Mangoball,None,None,Hero,None
mh2895,Sakura,Fun,Red,Resent,Mustache 2,Damasi,White,None,None,None,None,Hero,None
mh2896,Gold,Fighting,Sunrise,Normal,Mock,Mango Ranger,Yellow,None,None,None,None,Hero,None
mh2897,Stars,Fun,Sunrise,Ghoulish,uwu,Space Suit,Red,None,None,None,None,Hero,None
mh2898,Teal Black,Fun,Sunrise,Skeptic,Cupid,Slime Shirt,Pink,Pirate,Hook,None,None,Hero,None
mh2899,Brown Grey,Fun,Red,Cyclops,Jester Purple,Furutsu,Pink,None,None,None,None,Hero,None
mh2900,Ocean 1,Fun,Pink,Angry 2,Leaf,Boxer,Orange,None,Gloves,None,None,Hero,None
mh2901,TBT,Fun,Blue,Intense Worn,Gum,Kaiju Shirt,Red,None,None,None,None,Hero,Kaiju
mh2902,TBT Radial,Fun,Purple,Cobra,Fright,Tiger,Orange,Mariachi,Maraca,None,None,Hero,None
mh2903,Stars,Fun,Pink,Angry 1,Cigar 2,Space Suit,Red,None,None,None,None,Hero,None
mh2904,Orange Center,Fun,Purple,Patch,Whiskers,Caliburn Combat,Yellow,None,None,None,None,Hero,None
mh2905,TBT,Fun,Red,Focused Black,Respirator 2,Kaiju Shirt,Red,None,None,None,None,Hero,Kaiju
mh2906,TBT,Fun,Purple,Pixelshades,Whiskers,Striped,White,Mariachi,Maraca,None,None,Hero,None
mh2907,Teal Black,Fun,Red,Patch,Cig,Shirt,Blue,Mariachi,Maraca,None,None,Hero,None
mh2908,Evening,Fun,Pink,Cyclops,Whiskers,Wasteland,Black,None,MPAS-12,None,None,Hero,None
mh2909,Sun,Fun,Normal,Calm,Triumph,Chad,White,None,Jo,None,None,Hero,None
mh2910,Barrel White,Fun,Red,Resent,Plumber,Special Agent N,Pink,None,Mango MPK,None,None,Hero,None
mh2911,Rising Sun,Fun,Red,Intense,Jester Red,Ronin,Tan,None,Katana,None,None,Hero,None
mh2912,Light Temple,Kanjo,Normal,Fierce ,Primed,Space Monk,Tan,None,Light Sword Blue,None,None,Hero,None
mh2913,Bonsai,Fighting,Normal,Intense,Samurai,Samurai,Red,Samurai,Katana,None,None,Hero,None
mh2914,Pink Orange,Fun,Blue,Heart,Fright,Kaiju Shirt,Red,None,None,None,None,Hero,Kaiju
mh2915,Sky 2,Fun,Normal,Tired,Buck,Swimmer,Green,Swimmer,None,None,None,Hero,None
mh2916,Sea,Fun,Normal,Happy,Cigar 2,Rockstar,Black,None,None,None,None,Hero,None
mh2917,Teal Black,Fun,Green,Scared,Fright,Slime Shirt,Pink,Mariachi,Maraca,None,None,Hero,None
mh2918,Cornered Purple,Fun,Sunrise,Scar Right,Jester Red,Alchemist,Red,None,Otomeiru,None,None,Hero,None
mh2919,Banana,Fun,Red,Eager,Mask Purple,24,Yellow,None,Mango Mentality,None,None,Hero,None
mh2920,Barrel Black,Fun,Green,Intense,Sinister,Special Agent M,White,None,Mango MPK,None,None,Hero,None
mh2921,Mushroom,Fun,Normal,Eager,Plumber,Plumber,Red,Plumber,None,None,None,Hero,None
mh2922,TBT Radial,Fun,Purple,Glasses,Jester Red,Cope,Black,Pirate,Hook,None,None,Hero,Cope
mh2923,Sunset,Fun,Red,Sinister,Pucker,Mangoball,Green,None,Mangoball,None,None,Hero,None
mh2924,Sea,Fun,Blue,Cute,Frown,Rockstar,Black,None,None,None,None,Hero,None
mh2925,Peach Center,Fun,Sunrise,Cute,Pout,Cape,Red,None,None,None,None,Hero,None
mh2926,Tangelo,Fighting,Red,Star,Surgical,Viking,Brown,Viking,Shield,None,None,Hero,None
mh2927,Red Center Dark,Fighting,Red,Shock,Tasty,Mango Ranger,Red,None,None,None,None,Hero,None
mh2928,Cornered Purple,Fun,Purple,Tired,Jester Red,Alchemist,Red,None,Otomeiru,None,None,Hero,None
mh2929,Blue Center Light,Fun,Normal,Happy,Buck,School,Purple,None,None,None,None,Hero,None
mh2930,Orange Center,Fun,Blue,Alien White,Twig,Caliburn Combat,Yellow,None,None,None,None,Hero,None
mh2931,Green Black,Fun,Normal,Pixelshades,Jester Red,Guerrilla,Black,None,AM-47,None,None,Hero,None
mh2932,Mango Island,Fun,Red,Scared,Ghoulish,Juiced,Blue,None,None,None,None,Hero,None
mh2933,Red Cornered,Fun,Sunrise,Scar Left,Whiskers,Agent N,Pink,None,Mango MPK,Pencil,None,Hero,None
mh2934,Brown Grey,Fun,Blue,Jester,Whiskers,Furutsu,Red,None,None,None,None,Hero,None
mh2935,Purple Grey,Fun,Red,Plead 2,Cigar,Ghoul,White,None,Rinkaku Red,None,None,Hero,None
mh2936,Teal Black,Fun,Purple,Angry 2,Frown,Striped,White,None,None,None,None,Hero,None
mh2937,Sky 1,Fun,Normal,Angry 2,Triumph,Mango Radio,Purple,None,None,None,None,Hero,None
mh2938,Red Cornered,Fun,Red,Resent,Ghoulish,Agent O,Black,None,Mango MPK,Pencil,None,Hero,None
mh2939,Stars,Fun,Red,Focused Black,Yell,Space Suit,Red,None,None,None,None,Hero,None
mh2940,Pink Bubble,Fun,Purple,Eager,Smirk,Kaiju Shirt,Red,Mariachi,Maraca,None,None,Hero,Kaiju
mh2941,Sea,Fun,Sunrise,Intense Worn,uwu,Rockstar,Black,None,None,None,None,Hero,None
mh2942,Teal Black,Fun,Purple,Cute,Smooch,FFF,Purple,None,None,None,None,Hero,FFF
mh2943,Mango Island,Fun,Pink,Sinister,Buck,Pyro,Purple,None,None,None,None,Hero,None
mh2944,Teal Black,Fun,Pink,Stunned,Triumph,Sweater,Pink,None,None,None,None,Hero,None
mh2945,Fallen,Fun,Purple,Patch,Lip,Ghoul,Black,None,Rinkaku Red,None,None,Hero,None
mh2946,Purple Center,Fun,Purple,Worry,Full Metal,Biz,Yellow,None,None,None,None,Hero,None
mh2947,Turquoise Center,Fun,Green,Angry 3,Cigar,Mangonaut,White,None,None,None,None,Hero,None
mh2948,Dojo Light,Fighting,Sunrise,Angry,Shinobi,Shinobi,Purple,None,Katana,Shuriken,None,Hero,None
mh2949,Green Mangos,Fun,Blue,Scared,Pacifier,Diaper,White,None,None,None,None,Hero,None
mh2950,Mango Island,Fun,Pink,Mask,Cigar,Mango Man,Green,None,None,None,None,Hero,None
mh2951,Sunset,Fun,Normal,Angry 2,Jester Purple,Mangoball,Pink,None,Mangoball,None,None,Hero,None
mh2952,Barrel Black,Fun,Sunrise,Heart,Whiskers,Special Agent O,Black,None,Mango MPK,None,None,Hero,None
mh2953,Tangelo,Fighting,Pink,Happy,Clench 2,Viking,Brown,Viking,Shield,None,None,Hero,None
mh2954,TBT,Fun,Red,Jester,uwu,Shirt,Blue,None,None,None,None,Hero,None
mh2955,Ocean 1,Fun,Blue,Intense,Triumph,Boxer,Orange,None,Gloves,None,None,Hero,None
mh2956,Blue Yellow,Fun,Sunrise,Calm,Buck,Jester,Purple,None,None,None,None,Hero,None
mh2957,Orange Center,Fun,Pink,Angry 3,Plumber,Caliburn Combat,Red,None,None,None,None,Hero,None
mh2958,Pink White,Fun,Purple,Scar Right,Mustache 2,Trunks,Green,None,None,None,None,Hero,None
mh2959,Blue Center Light,Fun,Normal,Focused Black,Cupid,School,Blue,None,None,None,None,Hero,None
mh2960,Tangelo,Fighting,Red,Concentrate,Cheeky,Viking,Brown,Viking,Shield,None,None,Hero,None
mh2961,Turquoise Center,Fun,Sunrise,Calm,Jester Purple,Mangonaut,Red,None,None,None,None,Hero,None
mh2962,Purple Center,Fun,Sunrise,Cute,Smirk,Biz,Tan,None,None,None,None,Hero,None
